Task,Millis,FSR 3,system_cal ,theta_comp ,Shoulder X,Shoulder Y,Elbow X,Elbow
lowering,21825,13,50.71,-22.52,5.60,-37.59,-17.82,29
lowering,21835,13,51.93,-22.32,5.05,-37.59,-17.82,29
lowering,21846,19,53.24,-22.17,5.05,-39.13,-17.82,29
lowering,21856,18,54.30,-22.12,5.05,-45.42,-17.31,29
lowering,21866,17,55.41,-21.90,5.05,-36.82,-16.80,30
lowering,21876,18,56.52,-21.95,4.41,-36.75,-16.80,30
lowering,21889,18,57.71,-21.89,3.86,-36.75,-16.25,31
lowering,21901,18,58.95,-21.70,3.86,-36.75,-15.74,31
lowering,21911,17,59.97,-21.61,3.86,-36.75,-15.74,32
lowering,21921,17,61.12,-21.70,3.86,-36.75,-14.95,33
lowering,21934,14,62.23,-21.69,3.86,-36.75,-14.95,33
lowering,21944,18,63.30,-21.62,3.86,-36.75,-14.95,34
lowering,21954,17,64.32,-21.77,3.86,-41.45,-14.32,35
lowering,21964,16,65.29,-21.75,3.86,-38.18,-14.32,35
lowering,21975,18,66.25,-21.37,3.86,-40.38,-14.32,35
lowering,21985,13,67.25,-21.04,3.86,-38.79,-14.32,36
lowering,21995,13,68.21,-20.44,3.86,-38.21,-14.32,37
lowering,22005,16,69.25,-19.88,3.18,-36.66,-14.32,37
lowering,22016,15,70.31,-19.68,3.18,-36.66,-14.32,37
lowering,22026,19,71.22,-19.69,3.18,-36.66,-14.32,38
lowering,22036,19,72.22,-19.46,3.18,-36.13,-14.32,38
lowering,22046,25,73.00,-18.75,2.56,-36.13,-14.32,39
lowering,22056,31,73.87,-18.61,2.56,-35.56,-14.32,39
lowering,22067,35,74.80,-18.70,2.56,-35.03,-14.32,39
lowering,22078,41,75.74,-18.13,2.56,-35.03,-14.32,40
lowering,22090,45,76.71,-17.91,2.04,-35.03,-14.32,40
lowering,22103,40,77.74,-18.02,2.04,-35.03,-14.32,40
lowering,22113,41,78.67,-17.57,1.42,-34.53,-14.32,41
lowering,22123,42,79.45,-16.31,1.42,-34.53,-14.32,43
lowering,22134,42,80.27,-14.70,1.42,-34.53,-14.32,43
lowering,22145,39,81.20,-13.64,1.42,-36.21,-14.32,42
lowering,22155,41,82.20,-9.85,1.42,-42.40,-14.32,42
lowering,22165,42,82.73,-9.29,0.89,-34.02,-14.32,43
lowering,22175,45,83.37,-7.00,0.89,-33.42,-14.32,43
lowering,22184,42,84.03,-6.31,0.89,-34.07,-14.32,43
lowering,22195,45,84.55,-5.76,0.89,-34.07,-14.32,43
lowering,22205,46,85.13,-5.38,0.89,-34.07,-14.32,44
lowering,22215,46,85.74,-3.92,0.89,-34.07,-14.32,44
lowering,22225,48,86.31,-2.95,0.89,-33.47,-13.77,44
lowering,22236,40,86.92,0.79,0.89,-33.47,-13.77,44
lowering,22246,41,87.54,5.57,0.89,-33.47,-13.77,44
lowering,22255,39,88.15,10.70,0.89,-33.47,-13.77,45
lowering,22265,42,88.69,16.05,0.89,-33.47,-13.77,45
lowering,22276,41,89.23,20.54,0.89,-33.47,-13.77,46
lowering,22286,33,89.66,23.78,0.89,-33.47,-13.77,46
lowering,22297,38,90.10,27.06,0.89,-33.47,-13.77,46
lowering,22306,37,90.51,30.23,0.89,-33.47,-13.77,46
lowering,22317,41,90.93,33.48,0.89,-33.47,-13.77,46
lowering,22329,41,91.35,37.64,0.89,-33.47,-13.77,46
lowering,22341,45,91.79,41.98,0.89,-33.47,-13.77,47
lowering,22353,48,92.11,45.22,0.89,-34.02,-13.77,47
lowering,22364,49,92.42,48.41,0.89,-35.65,-13.77,48
lowering,22374,52,92.64,51.27,0.89,-34.93,-13.77,48
lowering,22384,52,92.88,53.80,0.89,-36.26,-13.77,48
lowering,22394,47,93.09,56.19,0.89,-32.60,-13.77,49
lowering,22405,48,93.31,58.54,0.89,-33.14,-13.77,48
lowering,22415,49,93.50,60.66,0.89,-33.14,-13.77,48
lowering,22425,52,93.68,62.85,0.89,-33.14,-13.77,48
lowering,22435,50,93.88,65.43,0.89,-33.14,-13.77,48
lowering,22446,44,94.07,67.90,0.89,-33.14,-13.25,48
lowering,22456,45,94.19,70.26,0.89,-33.14,-13.25,48
lowering,22466,48,94.36,72.84,0.89,-33.14,-13.88,48
lowering,22476,50,94.36,75.11,0.89,-33.14,-13.88,48
lowering,22487,51,94.36,77.62,0.89,-33.14,-13.25,49
lowering,22496,52,94.36,79.46,0.89,-33.14,-13.25,49
lowering,22506,53,94.36,81.32,0.89,-33.14,-13.25,49
lowering,22516,50,94.36,83.22,0.89,-33.14,-13.25,49
lowering,22526,49,94.36,84.83,0.89,-33.14,-13.25,49
lowering,22537,51,94.36,86.63,1.77,-33.14,-13.25,49
lowering,22547,49,94.36,88.74,2.80,-33.14,-13.25,49
lowering,22557,48,94.36,90.62,-0.74,-33.14,-13.25,49
lowering,22567,48,94.36,92.53,-5.01,-33.14,-13.25,49
lowering,22578,43,94.36,94.37,1.04,-33.14,-13.25,50
lowering,22587,45,94.36,96.17,1.04,-33.14,-13.25,50
lowering,22598,47,94.36,97.60,1.04,-33.14,-13.25,50
lowering,22607,43,94.36,98.80,1.04,-33.14,-12.65,50
lowering,22618,45,94.36,99.92,1.04,-32.59,-12.65,50
lowering,22629,48,94.36,100.79,1.04,-32.59,-12.65,50
lowering,22642,50,94.36,101.70,2.39,-32.59,-13.77,50
lowering,22653,50,94.36,102.72,0.68,-32.59,-12.49,50
lowering,22665,47,94.36,104.18,0.68,-32.59,-12.49,51
lowering,22675,49,94.36,105.81,0.68,-32.59,-12.49,51
lowering,22685,49,94.36,107.28,0.68,-32.59,-12.49,44
lowering,22695,47,94.36,108.69,0.68,-32.59,-12.49,51
lowering,22706,46,94.36,110.03,0.68,-32.59,-12.49,51
lowering,22716,45,94.36,111.72,0.68,-32.59,-12.49,51
lowering,22725,49,94.36,113.57,0.68,-32.59,-12.49,51
lowering,22735,51,94.36,115.46,0.68,-32.59,-12.49,51
lowering,22746,56,94.36,117.03,0.68,-32.59,-12.49,51
lowering,22756,58,94.36,118.29,0.68,-32.59,-12.49,51
lowering,22766,58,94.36,119.26,0.68,-32.59,-12.49,51
lowering,22776,58,94.36,120.06,0.68,-32.59,-12.49,51
lowering,22788,57,94.36,120.79,0.68,-32.59,-12.49,51
lowering,22799,61,94.36,121.52,0.68,-33.19,-12.49,51
lowering,22809,65,94.36,122.26,0.68,-33.19,-12.49,51
lowering,22822,66,94.36,123.14,0.68,-33.76,-13.10,51
lowering,22834,68,94.36,124.08,0.68,-34.32,-13.92,52
lowering,22845,66,94.36,125.13,0.68,-33.55,-12.85,52
lowering,22855,65,94.36,126.18,0.68,-33.55,-12.85,53
lowering,22865,70,94.36,127.07,0.68,-33.55,-12.85,51
lowering,22876,67,94.36,127.84,1.30,-33.55,-12.28,51
lowering,22886,70,94.36,128.41,2.69,-33.55,-12.28,51
lowering,22896,69,94.36,128.87,1.02,-33.55,-12.28,51
lowering,22906,67,94.36,129.34,1.95,-33.55,-12.28,51
lowering,22917,65,94.36,129.86,0.48,-33.55,-11.64,51
lowering,22927,66,94.36,130.33,0.48,-33.55,-11.64,51
lowering,22936,65,94.36,130.93,0.48,-33.55,-11.64,51
lowering,22946,59,94.36,131.48,0.48,-33.55,-11.64,51
lowering,22957,53,94.36,131.89,0.48,-33.55,-11.64,51
lowering,22967,51,94.36,132.34,0.48,-33.55,-10.92,51
lowering,22978,45,94.36,132.40,0.48,-33.55,-10.92,51
lowering,22989,39,94.36,132.59,0.48,-33.55,-10.92,51
lowering,23002,38,94.36,132.84,0.48,-33.55,-10.92,51
lowering,23012,39,94.36,133.00,0.48,-33.55,-10.30,51
done,,,,,,,,
